ID Ally,Saldo_vencido,Dias_de_atraso,Campo 2,Segundos,Voz,Dia_Semana,Rango_Hora,Llamada_Contestada,Promesa_de_Pago,Intensidad,Prompt,Tipificaciones,date
433433335631,2380.34,77,Vencido,11,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433339339,1108.86,70,Vencido,33,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,5. Otro,02/01/2025
433433338898,1293.68,56,Vencido,4,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433333319,23764.61,126,Vencida_Agencia,4,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433333969,2777.58,83,Vencida_Agencia,26,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433334660,13110.86,66,Vencida_Agencia,4,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433334755,4166.4,126,Vencida_Agencia,12,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,5. Otro,02/01/2025
433433334975,3934.48,126,Vencida_Agencia,10,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433334044,5901.96,111,Vencida_Agencia,16,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,5. Otro,02/01/2025
433433335478,4080.91,96,Vencida_Agencia,6,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433335723,2539.53,83,Vencida_Agencia,5,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433338693,3010.27,77,Vencido,3,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433335488,3403.24,64,Vencido,2,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433333974,2900.6,46,Vencido,,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,5. Otro,02/01/2025
433433335260,1467.06,52,Vencida_Agencia,5,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,2. Usuario colgo la llamada,02/01/2025
433433333319,23764.61,126,Vencida_Agencia,19,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,5. Otro,02/01/2025
433433333552,4163.46,126,Vencida_Agencia,25,Santiago,6. Sabado,3. Tarde,1,0,Normal,Alto,5. Otro,02/01/2025
