ID Aliada,Tipificaciones,Promesa_de_Pago,Ya_Pagaron,Buzon
433433337311,3. Contacto no definido,0,0,0
433433334650,3. Contacto no definido,0,0,0
433433334550,3. Contacto no definido,0,0,0
433433334135,3. Contacto no definido,0,0,0
433433334152,3. Contacto no definido,0,0,0
433433334276,3. Contacto no definido,0,0,0
433433335498,3. Contacto no definido,0,0,0
433433335631,2. Usuario colgo la llamada,0,0,1
433433335857,3. Contacto no definido,0,0,0
433433335047,3. Contacto no definido,0,0,0
433433335069,3. Contacto no definido,0,0,0
433433335158,3. Contacto no definido,0,0,0
433433336278,3. Contacto no definido,0,0,0
433433337054,3. Contacto no definido,0,0,0
433433338688,3. Contacto no definido,0,0,0
433433338058,3. Contacto no definido,0,0,0
433433338246,3. Contacto no definido,0,0,0
433433339333,3. Contacto no definido,0,0,0
433433339339,5. Otro,0,0,0
433433339550,3. Contacto no definido,0,0,0
433433334225,3. Contacto no definido,0,0,0
433433334226,3. Contacto no definido,0,0,0
433433335416,3. Contacto no definido,0,0,0
433433337081,3. Contacto no definido,0,0,0
433433338898,2. Usuario colgo la llamada,0,0,1
433433339813,3. Contacto no definido,0,0,0
433433339092,3. Contacto no definido,0,0,0
433433335488,3. Contacto no definido,0,0,0
433433330402,3. Contacto no definido,0,0,0
433433333595,3. Contacto no definido,0,0,0
433433333974,3. Contacto no definido,0,0,0
433433333171,3. Contacto no definido,0,0,0
433433333188,3. Contacto no definido,0,0,0
433433334361,3. Contacto no definido,0,0,0
433433334476,3. Contacto no definido,0,0,0
433433334597,3. Contacto no definido,0,0,0
433433334668,3. Contacto no definido,0,0,0
433433334905,3. Contacto no definido,0,0,0
433433334219,3. Contacto no definido,0,0,0
433433335079,3. Contacto no definido,0,0,0
433433335070,3. Contacto no definido,0,0,0
433433336523,3. Contacto no definido,0,0,0
433433336609,3. Contacto no definido,0,0,0
433433336052,3. Contacto no definido,0,0,0
433433336237,3. Contacto no definido,0,0,0
433433337880,3. Contacto no definido,0,0,0
433433338340,3. Contacto no definido,0,0,0
433433338674,3. Contacto no definido,0,0,0
433433338728,3. Contacto no definido,0,0,0
433433338118,3. Contacto no definido,0,0,0
433433339733,3. Contacto no definido,0,0,0
433433339751,3. Contacto no definido,0,0,0
433433330363,3. Contacto no definido,0,0,0
433433334421,3. Contacto no definido,0,0,0
433433333386,3. Contacto no definido,0,0,0
433433333387,3. Contacto no definido,0,0,0
433433333396,3. Contacto no definido,0,0,0
433433333390,3. Contacto no definido,0,0,0
433433333301,3. Contacto no definido,0,0,0
433433333319,2. Usuario colgo la llamada,0,0,1
433433333326,3. Contacto no definido,0,0,0
433433333439,3. Contacto no definido,0,0,0
433433333453,3. Contacto no definido,0,0,0
433433333497,3. Contacto no definido,0,0,0
433433333534,3. Contacto no definido,0,0,0
433433333552,3. Contacto no definido,0,0,0
433433333511,3. Contacto no definido,0,0,0
433433333649,3. Contacto no definido,0,0,0
433433333685,3. Contacto no definido,0,0,0
433433333689,3. Contacto no definido,0,0,0
433433333629,3. Contacto no definido,0,0,0
433433333733,3. Contacto no definido,0,0,0
433433333746,3. Contacto no definido,0,0,0
433433333785,3. Contacto no definido,0,0,0
433433333796,3. Contacto no definido,0,0,0
433433333877,3. Contacto no definido,0,0,0
433433333887,3. Contacto no definido,0,0,0
433433333889,3. Contacto no definido,0,0,0
433433333969,2. Usuario colgo la llamada,0,0,1
433433333991,3. Contacto no definido,0,0,0
433433333907,3. Contacto no definido,0,0,0
433433333918,3. Contacto no definido,0,0,0
433433333046,3. Contacto no definido,0,0,0
433433333060,3. Contacto no definido,0,0,0
433433333027,3. Contacto no definido,0,0,0
433433333175,3. Contacto no definido,0,0,0
433433333172,3. Contacto no definido,0,0,0
433433333237,3. Contacto no definido,0,0,0
433433333247,3. Contacto no definido,0,0,0
433433333273,3. Contacto no definido,0,0,0
433433333291,3. Contacto no definido,0,0,0
433433334346,3. Contacto no definido,0,0,0
433433334359,3. Contacto no definido,0,0,0
433433334378,3. Contacto no definido,0,0,0
433433334389,3. Contacto no definido,0,0,0
433433334381,3. Contacto no definido,0,0,0
433433334451,3. Contacto no definido,0,0,0
433433334490,3. Contacto no definido,0,0,0
433433334425,3. Contacto no definido,0,0,0
433433334507,3. Contacto no definido,0,0,0
433433334637,3. Contacto no definido,0,0,0
433433334660,2. Usuario colgo la llamada,0,0,1
433433334693,3. Contacto no definido,0,0,0
433433334699,3. Contacto no definido,0,0,0
433433334692,3. Contacto no definido,0,0,0
433433334735,3. Contacto no definido,0,0,0
433433334739,3. Contacto no definido,0,0,0
433433334755,5. Otro,0,0,0
433433334774,3. Contacto no definido,0,0,0
433433334777,3. Contacto no definido,0,0,0
433433334703,3. Contacto no definido,0,0,0
433433334716,3. Contacto no definido,0,0,0
433433334819,3. Contacto no definido,0,0,0
433433334934,3. Contacto no definido,0,0,0
433433334956,3. Contacto no definido,0,0,0
433433334957,3. Contacto no definido,0,0,0
433433334950,3. Contacto no definido,0,0,0
433433334975,2. Usuario colgo la llamada,0,0,1
433433334971,3. Contacto no definido,0,0,0
433433334985,3. Contacto no definido,0,0,0
433433334908,3. Contacto no definido,0,0,0
433433334909,3. Contacto no definido,0,0,0
433433334900,3. Contacto no definido,0,0,0
